total_fpackets,total_fvolume,max_fpktl,max_bpktl,duration,fpsh_cnt,total_fhlen,label
8,1097,626,204,620813,2,172,0
9,4139,2965,5389,556386,4,192,0
5,817,571,1466,85164,1,112,0
82,7195,571,12262,142132,18,2084,0
27,16196,5229,5702,143661,7,552,0
19,1809,571,5410,603164,2,392,0
5,817,571,2878,450630,1,112,0
19,2518,571,2836,516152,8,392,0
11,1297,571,2209,291828,2,232,0
45,4697,786,2878,37901,4,924,0
7,995,571,1446,39753,2,152,0
25,2871,628,7089,732223,7,512,0
9,1114,583,204,752356,2,192,0
9,4139,2965,3977,605196,4,192,0
22,15337,4463,2878,552348,9,452,0
7,1097,657,325,460820,2,152,0
5,817,571,2878,206508,1,112,0
77,423757,8526,1632,425533,62,1552,0
5,817,571,3817,274490,1,112,0
18,2205,571,9988,984295,5,372,0
9,3348,2174,3977,734288,4,192,0
7,1097,657,325,227171,2,152,0
21,2372,604,1445,235793,5,444,0
14,1415,571,4150,517571,2,292,0
11,1329,571,5410,956867,2,232,0
332,29696,588,21234,104817,89,7720,0
8,1071,571,1466,143607,2,172,0
26,6050,955,327,641859,15,532,0
24,33995,14027,2772,206103,11,492,0
16,4071,2320,4290,139272,5,332,0
5,817,571,204,609912,1,112,0
16,2141,571,2793,458160,6,332,0
17,1458,492,527,647353,1,352,0
9,1183,571,6147,479705,2,204,0
9,1114,583,204,486297,2,192,0
17,14596,8526,5702,427619,6,352,0
12,4025,2597,5916,441596,5,252,0
8,1055,571,3126,317139,2,172,0
10,15815,9046,6263,568243,4,212,0
10,5960,4726,4290,393405,4,212,0
7,1057,571,4383,578398,2,152,0
12,3382,1135,1466,673656,5,252,0
12,1756,682,1466,267137,5,252,0
13,1373,571,2878,177995,2,308,0
6,1223,571,2878,686656,2,132,0
204,44257,1353,57946,34136,30,4248,0
10,3409,2175,2878,566527,4,212,0
11,2107,894,4058,2884,4,232,0
15,2016,571,2893,751579,7,312,0
13,1396,583,2738,335164,2,272,0
7,1002,591,200,30993,2,152,0
5,817,571,2878,165972,1,112,0
28,9420,1706,737,648344,9,584,0
13,1898,609,6791,961729,5,272,0
11,1264,571,2738,789161,2,232,0
14,3924,2295,7089,603618,5,292,0
11,1235,571,2878,427021,2,232,0
24,3419,1023,11710,921427,2,596,0
18,1661,571,4290,203360,2,384,0
10,3441,2207,5389,394701,4,212,0
15,2859,781,4290,762702,4,324,0
14,8357,6830,7114,612990,5,292,0
52,5011,571,4230,474239,13,1172,0
80,16079,698,603,491592,44,1636,0
10,1175,571,2878,162698,2,212,0
11,1329,571,2974,705213,2,232,0
13,1844,571,2878,114863,5,272,0
14,1476,614,528,664815,2,328,0
18,2335,571,2772,152785,8,372,0
5,817,571,2878,700530,1,112,0
10,3385,2151,4290,377891,4,212,0
97,560528,8526,3044,461339,83,1952,0
43,4651,823,4290,969392,4,884,0
169,13116,571,4290,533980,35,3392,0
30,6135,840,4150,399638,16,612,0
8,1157,657,325,63972,2,172,0
17,2374,571,2738,594799,8,352,0
27,16307,5237,8284,992983,7,552,0
17,2257,628,7089,215113,5,352,0
36,3980,705,4290,94161,4,744,0
13,1910,628,1466,428318,5,272,0
59,5764,864,2878,399149,10,1192,0
14,3819,2297,1098,678703,5,292,0
38,23054,13885,2799,547180,18,772,0
10,1330,632,6103,799490,2,212,0
16,4094,2343,7089,567854,5,332,0
19,13872,4043,2508,856103,8,392,0
47,4852,1367,2878,725895,6,964,0
22,2428,571,2878,261569,5,452,0
19,2313,571,1466,235519,5,392,0
9,3335,2161,5389,763251,4,192,0
41,4455,785,4290,578780,4,844,0
8,1055,571,2878,155494,2,172,0
22,2509,571,11350,487728,5,452,0
21,2806,711,4067,140886,7,432,0
65,5706,573,4290,231150,11,1432,0
9,1131,571,2878,927239,2,192,0
15,2205,571,5305,417907,8,312,0
1,66,66,66,751717,0,32,0
47,204886,16467,6147,45745,31,964,0
31,16452,5234,4290,467160,7,632,0
175,168482,16460,9923,57013,63,3524,0
10,3286,2052,2878,545974,4,212,0
11,1811,610,996,958048,5,232,0
13,5605,4035,5745,344688,5,272,0
9,1183,571,6035,138197,2,204,0
41,17010,1214,4134,263243,16,844,0
8,1117,571,6147,170347,2,172,0
9,3238,2064,5389,383013,4,192,0
19,2322,571,9938,137631,5,392,0
26,57838,5632,4290,110478,14,532,0
10,3274,2040,2878,602294,4,212,0
9,3223,2049,5389,547490,4,192,0
12,1324,571,2878,565954,2,252,0
10,3437,2203,2878,567544,4,212,0
16,10568,4552,6246,980672,6,332,0
11,1276,583,4150,870105,2,232,0
8,1071,571,2878,123587,2,172,0
12,26820,8526,6265,132186,5,252,0
11,1337,657,325,424687,2,232,0
35,4197,634,5739,159134,12,712,0
54,7878,1434,13854,204022,26,1092,0
12,2494,1420,2335,537829,5,252,0
26,16135,5228,4290,793184,7,532,0
20,2795,612,686,445399,8,412,0
80,25365,1195,14174,202822,20,1612,0
10,1269,571,2878,621390,2,212,0
13,3631,1497,2335,703930,6,272,0
10,3381,2147,2565,601876,4,212,0
10,1191,571,4067,214160,2,212,0
7,1011,571,4067,803479,2,152,0
19,12355,4354,6384,576592,10,392,0
1194,89735,903,22690,909027,463,23892,0
12,1301,571,4290,937795,2,264,0
33,3786,571,4290,368873,13,696,0
27,6448,1675,2878,148568,7,552,0
17,1775,571,4290,632769,5,364,0
16,2868,571,4150,99970,8,332,0
11,1235,571,2878,418965,2,232,0
15,1777,571,2878,665793,4,312,0
112,47203,1257,33801,776086,37,2264,0
15,1625,705,4067,740085,2,312,0
9,1121,571,4290,188268,2,204,0
462,625776,16467,5482,501190,301,9252,0
5,817,571,1466,785757,1,112,0
25,2839,571,2878,497619,6,512,0
7,988,571,206,618111,2,164,0
53,4692,571,2878,245224,8,1476,0
38,14000,1100,540,576922,15,784,0
15,2137,628,7089,982466,5,312,0
8,1097,626,204,705152,2,172,0
